Latitude,Longitude,Date,Time
-13.25195,66.8947333333333,2024-12-30,23:48:59
-13.25195,66.8947333333333,2024-12-30,23:49:00
-13.1977833333333,66.9137333333333,2024-12-31,05:42:28
-13.1363833333333,66.9356,2024-12-31,11:54:24
-13.0695833333333,66.95175,2024-12-31,18:11:28
-12.9851833333333,66.9938166666667,2025-01-01,04:23:28
-12.9297833333333,66.99405,2025-01-01,10:42:59
-12.87375,66.9764333333333,2025-01-01,17:31:29
-12.81275,66.96525,2025-01-01,23:56:29
-12.7674166666667,66.9462,2025-01-02,06:21:33
-12.7674166666667,66.9462,2025-01-02,06:21:33
-12.72095,66.9514333333333,2025-01-02,12:58:29
-12.6728166666667,66.9415166666667,2025-01-02,19:00:55
-12.6235666666667,66.93295,2025-01-03,01:13:26
-12.5861333333333,66.9233666666667,2025-01-03,07:06:54
-12.54175,66.9292666666667,2025-01-03,13:36:24
-12.4975666666667,66.9242666666667,2025-01-03,19:41:58
-12.4519333333333,66.9229666666667,2025-01-04,01:50:33
-12.4239,66.91455,2025-01-04,07:58:24
-12.3877166666667,66.9331166666667,2025-01-04,14:21:53
-12.3498333333333,66.9398166666667,2025-01-04,20:33:53
-12.3083166666667,66.9470833333333,2025-01-05,02:25:44
-12.3083166666667,66.9470833333333,2025-01-05,02:25:44
-12.2765166666667,66.9459833333333,2025-01-05,08:57:54
-12.2429,66.95415,2025-01-05,14:59:29
-12.2101833333333,66.9589833333333,2025-01-05,21:10:29
-12.2101833333333,66.9589833333333,2025-01-05,21:10:29
-12.1788333333333,66.9612666666667,2025-01-06,03:14:59
-12.15335,66.9658333333333,2025-01-06,09:09:59
-12.12525,66.9782166666667,2025-01-06,15:10:24
-12.0935333333333,66.9837166666667,2025-01-06,21:06:19
-12.0641833333333,66.9931166666667,2025-01-07,03:29:28
-12.0641833333333,66.9931166666667,2025-01-07,03:29:29
-12.0428333333333,66.9992833333333,2025-01-07,09:35:54
-12.0428333333333,66.9992833333333,2025-01-07,09:35:55
-12.0151333333333,66.9987666666667,2025-01-07,15:49:30
-11.9879333333333,67.0063166666667,2025-01-07,20:38:30
-11.96545,67.0068833333333,2025-01-08,02:45:49
-11.9395833333333,67.0110166666667,2025-01-08,08:38:24
-11.91425,67.0154166666667,2025-01-08,14:34:29
-11.8829333333333,67.0226333333333,2025-01-08,20:50:49
