,profile,longitude,latitude,profile_time_start,profile_time_end,heading,pitch,roll,waypoint_latitude,waypoint_longitude,conductivity,temperature,pressure,chlorophyll,cdom,backscatter_700,oxygen_concentration,salinity,potential_density,density,potential_temperature,profile_index,profile_direction
count,1428900.0,1428900.0,1428900.0,1428900.0,1428900.0,927472.0,927472.0,927472.0,927472.0,927472.0,927451.0,927451.0,927451.0,472943.0,472943.0,472943.0,926217.0,927451.0,927451.0,927451.0,927451.0,927472.0,927472.0
mean,650.0,66.92179484209716,12.696708758737554,12.696708758737554,12.696708758737554,2.543138540354384,-0.2883583323007153,0.0023526251164718145,13.121216699655434,66.9916541084783,4.244507732744808,13.58734781779016,496.2357020761353,0.19901515283584595,4.648228255687653,0.0001233550336297486,28.72141350259781,35.52024997384265,1026.5516740884264,1028.6138693370142,13.525308504484618,578.3577563527524,0.8680650197526179
std,374.9890199402752,0.33466220505710603,3.166737600615384,3.166737600615384,3.166737600615384,2.2135487089792254,0.16398572403658804,0.004818899682134879,5.213671683041913,0.04872632766936485,0.5848727623490042,5.580853295019196,288.34060564435885,0.15139707260816565,0.9912165139108884,5.953178012717395e-05,53.75599411919238,0.3117289783004147,1.2239675152268592,2.3745186579650044,5.6069763448083005,376.7032089590523,0.4964507903293424
min,1.0,66.04831945132429,6.255266880956886,6.255266880956886,6.255266880956886,0.0,-0.8064768261338208,-0.07275221042954229,6.25,66.56071414889715,3.557699998219808,7.122066656748454,0.039999999571591616,0.10080000013113022,-2.197049930691719,7.11236234565149e-05,-0.17999999821186066,32.274380780003824,1021.2281696605237,1021.1268586921117,7.021815900402275,1.0,-1.0
25%,325.0,66.77764491196989,10.416617430202217,10.416617430202217,10.416617430202217,0.26788583394146775,-0.3393640971653461,0.0002868897552612239,6.25,67.0,3.875190073251724,9.95869992574056,246.01224899291992,0.14759999886155128,4.303500175476074,0.00010356974962633103,1.8425000071525575,35.307989909738744,1026.5194869488578,1027.4568978830146,9.869322183596791,243.0,1.0
50%,650.0,66.97698560771249,12.756651710598033,12.756651710598033,12.756651710598033,3.0513991120699284,-0.3234214950760236,0.0023603147068157254,15.066666666666666,67.0,4.043299913406372,11.71822476387024,494.0850067138672,0.15299999713897705,5.141549825668335,0.00011388375060050748,8.371199893951417,35.46427837258052,1027.0317179497767,1029.079091996045,11.65319498540931,544.0,1.0
75%,975.0,67.17359915315458,15.272727741162322,15.272727741162322,15.272727741162322,3.416462957287992,-0.30881511424198377,0.004407564138958695,18.5,67.0,4.324098265171051,14.56983757019043,746.0760040283203,0.15983999967575074,5.300099849700928,0.00013365224685912835,23.73200035095215,35.62966268167381,1027.2826883298019,1030.4616033180664,14.531655839122942,899.0,1.0
max,1299.0,67.49449740679773,18.48690721369346,18.48690721369346,18.48690721369346,6.281439781188965,0.5278235354498544,0.07728142462951368,18.5,67.0,6.15261585529034,31.387249374389647,1006.6442980085101,2.3063999811808267,5.82859992980957,0.005392932740505785,236.46075057983398,36.67083488318732,1027.5021863947957,1031.8537834148162,31.38720921191359,1299.0,1.0
