,latitude,longitude,heading,pitch,roll,waypoint_latitude,waypoint_longitude,conductivity,temperature,pressure,chlorophyll,cdom,backscatter_700,oxygen_concentration,depth,salinity,potential_density,density,potential_temperature,profile_index,profile_direction
count,2039585.0,2039585.0,2039585.0,2039585.0,2039585.0,2039585.0,2039585.0,2039585.0,2039585.0,2039585.0,2039585.0,2039585.0,2039585.0,2039585.0,2039585.0,2039585.0,2039585.0,2039585.0,2039585.0,2039585.0,2039585.0
mean,13.946254924473838,67.04462925678877,2.6889178806370855,-0.24081327485404333,0.0018985955778402276,12.63566771032286,66.99460480593179,4.552809517682191,16.524755875440434,385.2732424183685,0.19117037541855064,4.546677033366792,0.00012536594009650916,47.95409694102693,382.4401974259367,35.648742519672005,1025.9233715881826,1027.4879536150536,16.474650099297893,349.56183880544324,0.6918569218738125
std,2.7611578087752195,0.2708803380029119,2.2755282002651898,0.23396360648067777,0.006392541814235063,5.313207771114086,0.29499274983016505,0.734136313537975,7.022314884803546,309.0445304183222,0.1401458397076594,1.1348334723906222,7.918500743172042e-05,77.3239157142064,306.56758936097754,0.3674475741984447,1.6609793199431395,2.899630572309749,7.05328608044898,339.23573559581064,0.6967406443005534
min,6.249975405748052,66.04507191820446,0.0,-1.141210306464348,-0.17164148293012038,0.0,0.0,3.557569980621338,7.122099876403809,0.010000000474974513,-0.446399986743927,-20.385000228881836,-0.00015127200458664447,-0.1860000044107437,0.009940830553564761,21.740954426686187,1012.1249901101575,1012.227470614269,7.021836352155177,0.0,-1.0
25%,12.236770016456859,66.95552266195249,0.2648871167160962,-0.33979617041425314,-0.0009279682022851121,6.25,67.0,3.975399971008301,10.911499977111816,112.74999618530273,0.14399999380111694,4.167600154876709,0.0001031400024658069,1.1519999504089355,112.06462758200354,35.43616792574985,1024.9842190665006,1025.3191612014857,10.82911900413522,110.0,1.0
50%,13.993339928397125,67.08774847852298,3.030454955175445,-0.323943928171885,0.001745329238474369,14.11511121607851,67.0,4.228759765625,13.53219985961914,312.9199981689453,0.15119999647140503,5.1641998291015625,0.00011345399980200455,5.0960001945495605,310.8584132950893,35.56731245873791,1026.7695379807315,1028.0052984884433,13.486509460433231,238.0,1.0
75%,16.191141163771434,67.18635792655846,3.6960260420417463,-0.3037945734260045,0.004800266064817157,18.5,67.0,5.097280025482178,21.79560089111328,653.5900115966797,0.1656000018119812,5.254799842834473,0.0001358010049443692,45.744001388549805,648.7531836426205,35.829234618892485,1027.2088890889197,1029.9644203223938,21.7735335761027,421.0,1.0
max,18.497454587518224,67.49956834999637,6.281439781188965,0.55797866210656,0.10789070572160785,18.5,67.17723833332708,6.278820037841797,32.4557991027832,1006.7900085449219,16.264799118041992,151.21139526367188,0.007023834157735109,236.6699981689453,998.4103033183915,36.67308892184984,1027.4992562378468,1031.8542061348955,32.45574898590029,1299.0,1.0
