,temperature,salinity,potential_temperature,heading,pitch,roll
temperature,1.0,0.5766336311157556,0.9999979843360329,-0.004496015107383466,-0.022131109528994768,-0.10002037072011036
salinity,0.5766336311157556,1.0,0.576609813032507,-0.0442611661063235,-0.09336587933455831,-0.0443984794964423
potential_temperature,0.9999979843360329,0.576609813032507,1.0,-0.004542770456324988,-0.021996411870968173,-0.09990645636480106
heading,-0.004496015107383466,-0.0442611661063235,-0.004542770456324988,1.0,0.0968807231677706,0.0010967293486386417
pitch,-0.022131109528994768,-0.09336587933455831,-0.021996411870968173,0.0968807231677706,1.0,0.221285829429078
roll,-0.10002037072011036,-0.0443984794964423,-0.09990645636480106,0.0010967293486386417,0.221285829429078,1.0
