,temperature,salinity,potential_temperature,heading,pitch,roll
temperature,1.0,0.6757543582034996,0.9999976392661953,-0.02436119492956027,-0.18984081633591626,-0.14799941446604742
salinity,0.6757543582034996,1.0,0.6756894359400841,-0.05032764567358387,-0.1596847677261622,-0.06730324051435271
potential_temperature,0.9999976392661953,0.6756894359400841,1.0,-0.024396347772072523,-0.18963480422098505,-0.14784060194426635
heading,-0.02436119492956027,-0.05032764567358387,-0.024396347772072523,1.0,0.08089384482694226,-0.0038030395362011315
pitch,-0.18984081633591626,-0.1596847677261622,-0.18963480422098505,0.08089384482694226,1.0,0.2500070460777284
roll,-0.14799941446604742,-0.06730324051435271,-0.14784060194426635,-0.0038030395362011315,0.2500070460777284,1.0
