Date,Time,Longitude,Latitude
19-01-2025,20:49:25,67.73206667,-11.49665
20-01-2025,02:04:28,67.74956667,-11.47283333
20-01-2025,09:25:20,67.76038333,-11.4309
20-01-2025,09:41:14,67.7602,-11.42823333
20-01-2025,14:38:50,67.76306667,-11.39866667
20-01-2025,19:45:28,67.75503333,-11.36453333
21-01-2025,01:07:58,67.74958333,-11.33651667
21-01-2025,06:18:59,67.7449,-11.30723333
21-01-2025,11:30:27,67.73508333,-11.27795
21-01-2025,16:51:24,67.7231,-11.24595
21-01-2025,22:09:25,67.70696667,-11.21281667
22-01-2025,03:28:08,67.69393333,-11.18211667
22-01-2025,08:52:59,67.67896667,-11.14975
22-01-2025,14:10:58,67.66506667,-11.11688333
22-01-2025,19:38:54,67.64808333,-11.08068333
23-01-2025,00:59:29,67.62895,-11.04503333
23-01-2025,06:33:59,67.61125,-11.00996667
23-01-2025,11:53:59,67.58795,-10.97411667
23-01-2025,17:13:24,67.55993333,-10.9392
23-01-2025,22:37:31,67.53111667,-10.9039
24-01-2025,04:00:59,67.50598333,-10.87311667
24-01-2025,04:00:59,67.50598333,-10.87311667
24-01-2025,09:29:55,67.47761667,-10.83958333
24-01-2025,09:29:55,67.47761667,-10.83958333
24-01-2025,14:45:49,67.45066667,-10.80313333
24-01-2025,20:14:24,67.41733333,-10.76926667
25-01-2025,01:36:04,67.39006667,-10.74238333
25-01-2025,06:58:24,67.36473333,-10.71696667
25-01-2025,12:23:54,67.33745,-10.68613333
25-01-2025,17:43:29,67.3076,-10.65845
25-01-2025,23:10:29,67.27608333,-10.63425
26-01-2025,04:32:29,67.2563,-10.6159
26-01-2025,09:50:24,67.23638333,-10.59445
26-01-2025,15:16:19,67.2134,-10.56796667
26-01-2025,20:42:54,67.18895,-10.54386667
27-01-2025,02:00:24,67.16241667,-10.52743333
27-01-2025,02:00:24,67.16241667,-10.52743333
27-01-2025,07:25:53,67.14481667,-10.51191667
27-01-2025,07:25:54,67.14481667,-10.51191667
27-01-2025,12:48:59,67.11586667,-10.48685
27-01-2025,18:14:53,67.08943333,-10.46685
27-01-2025,23:33:29,67.06248333,-10.44878333
28-01-2025,04:58:54,67.03888333,-10.4396
28-01-2025,10:14:24,67.02341667,-10.43038333
28-01-2025,15:36:59,66.99928333,-10.41393333
28-01-2025,15:36:59,66.99928333,-10.41393333
28-01-2025,21:05:25,66.98233333,-10.40473333
29-01-2025,02:29:56,66.96095,-10.39493333
29-01-2025,08:00:04,66.95211667,-10.39245
29-01-2025,13:30:48,66.93353333,-10.3771
29-01-2025,18:58:59,66.91195,-10.3613
30-01-2025,00:26:24,66.8896,-10.3484
30-01-2025,05:56:14,66.8696,-10.3441
30-01-2025,11:29:24,66.86308333,-10.3357
30-01-2025,16:50:24,66.84295,-10.32333333
30-01-2025,22:18:54,66.833,-10.31033333
31-01-2025,03:43:34,66.82226667,-10.3016
31-01-2025,09:16:27,66.81581667,-10.29661667
31-01-2025,14:42:03,66.7968,-10.2817
31-01-2025,20:05:58,66.78295,-10.27471667
01-02-2025,01:20:59,66.76693333,-10.26096667
01-02-2025,06:50:53,66.75285,-10.25253333
01-02-2025,12:10:24,66.74271667,-10.24058333
01-02-2025,21:37:29,66.71265,-10.2103
02-02-2025,08:02:53,66.6763,-10.18808333
02-02-2025,18:32:53,66.62833333,-10.15933333
03-02-2025,04:15:58,66.59356667,-10.13655
03-02-2025,16:50:04,66.5519,-10.10661667
04-02-2025,03:38:24,66.52006667,-10.09353333
04-02-2025,14:16:50,66.483,-10.07048333
05-02-2025,00:56:24,66.44206667,-10.05151667
05-02-2025,10:58:34,66.41183333,-10.0443
05-02-2025,16:30:49,66.3886,-10.04271667
05-02-2025,21:39:54,66.39405,-10.0642
06-02-2025,02:30:58,66.40906667,-10.08595
06-02-2025,02:30:58,66.40906667,-10.08595
06-02-2025,07:38:00,66.41323333,-10.09648333
06-02-2025,12:36:23,66.37855,-10.08125
06-02-2025,18:00:13,66.33376667,-10.06845
06-02-2025,23:30:54,66.32198333,-10.06545
07-02-2025,05:01:23,66.3134,-10.0704
07-02-2025,10:14:49,66.30631667,-10.07041667
07-02-2025,15:33:29,66.29455,-10.0632
07-02-2025,20:59:59,66.24621667,-10.05788333
08-02-2025,02:21:59,66.21053333,-10.05518333
08-02-2025,02:21:59,66.21053333,-10.05518333
08-02-2025,07:35:20,66.1591,-10.07166667
08-02-2025,10:22:09,66.12631667,-10.07665
08-02-2025,13:06:54,66.09661667,-10.07763333
08-02-2025,13:42:38,66.09246667,-10.08143333
08-02-2025,15:32:08,66.0853,-10.07455
08-02-2025,17:22:44,66.07651667,-10.06661667
08-02-2025,19:13:49,66.08053333,-10.07236667
08-02-2025,21:06:43,66.08438333,-10.0774
08-02-2025,22:59:12,66.08826667,-10.0835
09-02-2025,01:00:34,66.09375,-10.09103333
09-02-2025,02:58:33,66.10133333,-10.1027
09-02-2025,05:04:28,66.10943333,-10.11653333
09-02-2025,05:12:53,66.10975,-10.11801667
09-02-2025,06:52:54,66.11945,-10.12598333
09-02-2025,08:43:54,66.12915,-10.1334
09-02-2025,10:39:59,66.1412,-10.13451667
09-02-2025,14:32:48,66.16596667,-10.13291667
09-02-2025,14:32:48,66.16596667,-10.13291667
09-02-2025,19:26:04,66.18956667,-10.14253333
10-02-2025,00:22:54,66.21041667,-10.15003333
10-02-2025,05:17:29,66.2351,-10.16355
10-02-2025,09:28:54,66.25743333,-10.174
10-02-2025,14:02:55,66.27651667,-10.17501667
10-02-2025,18:45:18,66.30021667,-10.17258333
11-02-2025,00:09:24,66.30695,-10.17366667
11-02-2025,05:26:04,66.31535,-10.17698333
11-02-2025,10:43:24,66.32515,-10.1749
11-02-2025,15:46:58,66.32968333,-10.16243333
12-02-2025,04:24:54,66.33763333,-10.16066667
12-02-2025,04:24:55,66.33763333,-10.16066667
12-02-2025,09:15:34,66.34688333,-10.16503333
12-02-2025,14:46:29,66.35441667,-10.1594
12-02-2025,20:01:24,66.36676667,-10.154
13-02-2025,01:13:54,66.37605,-10.14873333
13-02-2025,06:34:18,66.38801667,-10.14775
13-02-2025,11:57:23,66.40126667,-10.14166667
13-02-2025,17:30:28,66.40495,-10.13178333
13-02-2025,22:41:26,66.41108333,-10.12378333
14-02-2025,03:54:54,66.37933333,-10.09471667
14-02-2025,09:02:29,66.35908333,-10.07501667
14-02-2025,14:22:14,66.33248333,-10.12141667
14-02-2025,19:42:34,66.31105,-10.17405
14-02-2025,19:42:34,66.31105,-10.17405
15-02-2025,01:06:31,66.30911667,-10.16273333
15-02-2025,06:29:54,66.30851667,-10.1516
15-02-2025,11:58:05,66.31481667,-10.13643333
15-02-2025,17:20:29,66.3125,-10.11461667
15-02-2025,22:41:24,66.31216667,-10.0915
16-02-2025,03:45:53,66.3098,-10.06698333
16-02-2025,09:09:58,66.30755,-10.04208333
16-02-2025,14:37:53,66.30513333,-10.01296667
16-02-2025,20:11:23,66.30495,-9.987683333
17-02-2025,01:34:53,66.3072,-9.96095
17-02-2025,06:56:23,66.30213333,-9.939083333
17-02-2025,12:30:29,66.30628333,-9.912616667
17-02-2025,17:28:04,66.28966667,-9.895533333
17-02-2025,22:48:29,66.27896667,-9.892516667
18-02-2025,03:56:39,66.2633,-9.881516667
18-02-2025,09:04:29,66.25075,-9.86895
18-02-2025,14:11:22,66.2394,-9.848283333
18-02-2025,19:13:29,66.21826667,-9.830916667
19-02-2025,00:10:58,66.20335,-9.8204
19-02-2025,05:22:03,66.18151667,-9.808966667
19-02-2025,10:25:59,66.16676667,-9.800266667
19-02-2025,15:30:28,66.1548,-9.78195
19-02-2025,20:31:49,66.14146667,-9.771633333
20-02-2025,01:37:38,66.13061667,-9.759233333
20-02-2025,06:47:29,66.11743333,-9.744583333
20-02-2025,11:56:33,66.10541667,-9.7309
20-02-2025,16:59:24,66.09345,-9.71115
20-02-2025,22:07:29,66.07948333,-9.694116667
21-02-2025,03:14:03,66.07031667,-9.6755
21-02-2025,08:31:59,66.05513333,-9.656883333
21-02-2025,13:38:34,66.04331667,-9.636566667
21-02-2025,13:38:34,66.04331667,-9.636566667
21-02-2025,18:40:23,66.02695,-9.612316667
21-02-2025,23:49:53,66.01108333,-9.5885
22-02-2025,04:59:59,65.99631667,-9.566783333
22-02-2025,10:14:53,65.97581667,-9.54655
22-02-2025,15:15:59,65.96315,-9.52765
22-02-2025,20:23:28,65.94626667,-9.503766667
23-02-2025,01:35:58,65.93113333,-9.4803
23-02-2025,06:48:18,65.91653333,-9.457766667
23-02-2025,11:46:28,65.90015,-9.434633333
23-02-2025,16:54:53,65.89033333,-9.4063
23-02-2025,22:07:59,65.8749,-9.374966667
24-02-2025,03:15:54,65.86635,-9.349433333
24-02-2025,08:29:59,65.84953333,-9.319616667
24-02-2025,13:28:34,65.83431667,-9.289833333
24-02-2025,18:52:57,65.81533333,-9.252566667
25-02-2025,00:33:55,65.79003333,-9.216133333
25-02-2025,05:58:23,65.77038333,-9.181783333
25-02-2025,11:20:25,65.74508333,-9.14235
25-02-2025,16:30:25,65.72976667,-9.08905
25-02-2025,22:17:29,65.70085,-9.045166667
26-02-2025,03:34:13,65.68195,-9.0107
26-02-2025,09:00:28,65.66695,-8.97585
26-02-2025,14:52:58,65.64115,-8.9149
26-02-2025,20:18:59,65.62525,-8.867533333
26-02-2025,20:18:59,65.62525,-8.867533333
27-02-2025,02:10:25,65.60616667,-8.8254
27-02-2025,07:49:28,65.59268333,-8.794866667
27-02-2025,13:06:54,65.57635,-8.755716667
27-02-2025,23:54:00,65.54936667,-8.68675
28-02-2025,05:02:24,65.5351,-8.65075
28-02-2025,10:22:29,65.52171667,-8.619333333
28-02-2025,15:42:53,65.50791667,-8.584216667
28-02-2025,21:05:53,65.50771667,-8.542933333
01-03-2025,02:38:28,65.49578333,-8.50415
01-03-2025,08:16:29,65.48716667,-8.4673
01-03-2025,13:43:58,65.47101667,-8.430083333
01-03-2025,18:47:29,65.4659,-8.40165
02-03-2025,00:32:29,65.4508,-8.368633333
02-03-2025,06:04:59,65.44011667,-8.330983333
02-03-2025,11:24:44,65.43518333,-8.302466667
