2012,01,01,00,  730
2012,01,01,01,  696
2012,01,01,02,  685
2012,01,01,03,  742
2012,01,01,04,  852
2012,01,01,05,  981
2012,01,01,06, 1070
2012,01,01,07, 1135
2012,01,01,08, 1163
2012,01,01,09, 1153
2012,01,01,10, 1100
2012,01,01,11, 1023
2012,01,01,12,  978
2012,01,01,13,  941
2012,01,01,14,  945
2012,01,01,15,  977
2012,01,01,16, 1045
2012,01,01,17, 1133
2012,01,01,18, 1212
2012,01,01,19, 1243
2012,01,01,20, 1226
2012,01,01,21, 1163
2012,01,01,22, 1072
2012,01,01,23,  976
2012,01,02,00,  868
2012,01,02,01,  788
2012,01,02,02,  744
2012,01,02,03,  769
2012,01,02,04,  856
2012,01,02,05,  949
2012,01,02,06, 1024
2012,01,02,07, 1117
2012,01,02,08, 1179
2012,01,02,09, 1199
2012,01,02,10, 1197
2012,01,02,11, 1133
2012,01,02,12, 1070
2012,01,02,13, 1029
2012,01,02,14,  973
2012,01,02,15,  966
2012,01,02,16,  958
2012,01,02,17, 1002
2012,01,02,18, 1064
2012,01,02,19, 1120
2012,01,02,20, 1150
2012,01,02,21, 9999
2012,01,02,22, 1098
2012,01,02,23, 1045
2012,01,03,00,  946
2012,01,03,01, 9999
2012,01,03,02, 9999
2012,01,03,03, 9999
2012,01,03,04,  746
2012,01,03,05,  802
2012,01,03,06,  917
2012,01,03,07,  991
2012,01,03,08, 1032
2012,01,03,09, 1160
2012,01,03,10, 9999
2012,01,03,11, 1234
2012,01,03,12, 9999
2012,01,03,13, 9999
2012,01,03,14,  983
2012,01,03,15,  961
2012,01,03,16,  907
2012,01,03,17,  907
2012,01,03,18,  933
2012,01,03,19,  974
2012,01,03,20, 1066
2012,01,03,21, 1093
2012,01,03,22, 1114
2012,01,03,23, 9999
2012,01,04,00, 1017
2012,01,04,01,  972
2012,01,04,02,  853
2012,01,04,03,  767
2012,01,04,04,  727
2012,01,04,05,  718
2012,01,04,06,  765
2012,01,04,07,  831
2012,01,04,08, 9999
2012,01,04,09, 9999
2012,01,04,10, 9999
2012,01,04,11, 9999
2012,01,04,12, 9999
2012,01,04,13, 9999
2012,01,04,14, 9999
2012,01,04,15, 9999
2012,01,04,16, 9999
2012,01,04,17, 9999
2012,01,04,18, 9999
2012,01,04,19, 9999
2012,01,04,20, 9999
2012,01,04,21, 9999
2012,01,04,22, 9999
2012,01,04,23, 9999
2012,01,05,00, 9999
2012,01,05,01, 9999
2012,01,05,02, 9999
2012,01,05,03, 9999
2012,01,05,04, 9999
2012,01,05,05, 9999
2012,01,05,06, 9999
2012,01,05,07, 9999
2012,01,05,08, 9999
2012,01,05,09, 9999
2012,01,05,10, 9999
2012,01,05,11, 9999
2012,01,05,12, 9999
2012,01,05,13, 9999
2012,01,05,14, 9999
2012,01,05,15, 9999
2012,01,05,16, 9999
2012,01,05,17, 9999
2012,01,05,18, 9999
2012,01,05,19, 9999
2012,01,05,20, 9999
2012,01,05,21, 9999
2012,01,05,22, 9999
2012,01,05,23, 9999
2012,01,06,00, 9999
2012,01,06,01, 9999
2012,01,06,02, 9999
2012,01,06,03, 9999
2012,01,06,04, 9999
2012,01,06,05, 9999
2012,01,06,06, 9999
2012,01,06,07, 9999
2012,01,06,08, 9999
2012,01,06,09, 9999
2012,01,06,10, 9999
2012,01,06,11, 9999
2012,01,06,12, 9999
2012,01,06,13, 9999
2012,01,06,14, 9999
2012,01,06,15, 9999
2012,01,06,16, 9999
2012,01,06,17, 9999
2012,01,06,18, 9999
2012,01,06,19, 9999
2012,01,06,20, 9999
2012,01,06,21, 9999
2012,01,06,22, 9999
2012,01,06,23, 9999
2012,01,07,00, 9999
2012,01,07,01, 9999
2012,01,07,02, 9999
2012,01,07,03, 9999
2012,01,07,04, 9999
2012,01,07,05, 9999
2012,01,07,06, 9999
2012,01,07,07, 9999
2012,01,07,08, 9999
2012,01,07,09, 9999
2012,01,07,10, 9999
2012,01,07,11, 9999
2012,01,07,12, 9999
2012,01,07,13, 9999
2012,01,07,14, 9999
2012,01,07,15, 9999
2012,01,07,16, 9999
2012,01,07,17, 9999
2012,01,07,18, 9999
2012,01,07,19, 9999
2012,01,07,20, 9999
2012,01,07,21, 9999
2012,01,07,22, 9999
2012,01,07,23, 9999
2012,01,08,00, 9999
2012,01,08,01, 9999
2012,01,08,02, 9999
2012,01,08,03, 9999
2012,01,08,04, 9999
2012,01,08,05, 9999
2012,01,08,06, 9999
2012,01,08,07, 9999
2012,01,08,08, 9999
2012,01,08,09, 9999
2012,01,08,10, 9999
2012,01,08,11, 9999
2012,01,08,12, 9999
2012,01,08,13, 9999
2012,01,08,14, 9999
2012,01,08,15, 9999
2012,01,08,16, 9999
2012,01,08,17, 9999
2012,01,08,18, 9999
2012,01,08,19, 9999
2012,01,08,20, 9999
2012,01,08,21, 9999
2012,01,08,22, 9999
2012,01,08,23, 9999
2012,01,09,00, 9999
2012,01,09,01, 9999
2012,01,09,02, 9999
2012,01,09,03, 9999
2012,01,09,04, 9999
2012,01,09,05, 9999
2012,01,09,06, 9999
2012,01,09,07, 9999
2012,01,09,08, 9999
2012,01,09,09, 9999
2012,01,09,10, 9999
2012,01,09,11, 9999
2012,01,09,12, 9999
2012,01,09,13, 9999
2012,01,09,14, 9999
2012,01,09,15, 9999
2012,01,09,16, 9999
2012,01,09,17, 9999
2012,01,09,18, 9999
2012,01,09,19, 9999
2012,01,09,20, 9999
2012,01,09,21, 9999
2012,01,09,22, 9999
2012,01,09,23, 9999
2012,01,10,00, 9999
2012,01,10,01, 9999
2012,01,10,02, 9999
2012,01,10,03, 9999
2012,01,10,04, 9999
